model,rmse_m,median_err_m,hit_3m,hit_5m,hit_10m,rel_rmse_improvement
no-move baseline,6.456740033870989,5.1696762623194275,0.22141372141372143,0.4807692307692308,0.8924116424116424,0.0
GAT,6.332068496778532,5.092431857442357,0.24376299376299376,0.48544698544698545,0.8996881496881497,0.01930874348950873
Transformer,6.328438876593757,5.017890902554411,0.24740124740124741,0.4979209979209979,0.8976091476091476,0.019870887879051224
