direction,n_train_matches,n_test_matches,success_auc,success_brier,receiver_top1
men->women,292,125,0.6700732722405675,0.22548505663871765,0.3941459502806736
women->men,125,292,0.5800086745368611,0.24583637714385986,0.3165781228715434
