model,n_seeds,success_auc_mean,success_auc_std,success_brier_mean,success_brier_std,xt_rmse_mean,xt_rmse_std,run_rmse_m_mean,run_rmse_m_std,run_hit_rate_3m_mean,run_hit_rate_3m_std,receiver_top1_mean,receiver_top1_std,receiver_top3_mean,receiver_top3_std,presser_top1_mean,presser_top1_std,presser_top3_mean,presser_top3_std,defsuccess_auc_mean,defsuccess_auc_std,dxt_r2_mean,dxt_r2_std,defline_rmse_m_mean,defline_rmse_m_std,xpass_auc_mean,xpass_auc_std
GAT,3,0.7333830667273386,0.0005981513290885828,0.20475667218367258,0.00017700560381720507,0.06510125877666538,2.6702996795989682e-05,6.332746292310023,0.010787588298458635,0.24255024255024257,0.001960101957551067,0.4076618779929211,0.0012834507605598384,0.7828440557984594,0.0015580501298246296,0.27711846762440145,0.0020611065868439762,0.6156568811159692,0.0017910317024865056,0.597628848906396,0.0005533618255882363,0.7261483669281006,0.005715483827558733,5.336747328440349,0.026364776639260668,0.669703957396849,0.008305238090144936
Transformer,3,0.7457544307932841,0.003446672701575486,0.20128685732682547,0.000923648393489204,0.06509068069900956,0.00010122398505578674,6.267138146883167,0.00963943624922821,0.24826749826749828,0.002337272620102574,,,,,,,,,,,,,,,,
