variant,success_auc,success_brier,run_rmse_m,receiver_top1,receiver_top3,presser_top1,presser_top3
base,0.7142564930519095,0.2101140171289444,6.3668251688637305,0.37726420986883197,0.7489069331667708,0.24797001873828858,0.6027482823235478
position,0.7163818299555462,0.20943213999271393,6.352466521600036,0.3316677076826983,0.6614615865084322,0.23235477826358525,0.5078076202373517
