lr,hidden,layers,dropout,val_success_auc,val_success_brier,val_receiver_top1
0.0003,128,3,0.1,0.7119204861001129,0.21319928765296936,0.42352141400407883
0.0003,128,4,0.0,0.7032851878833952,0.21536973118782043,0.4983004758667573
0.0003,64,2,0.0,0.6925540844445852,0.21841192245483398,0.4860639021074099
0.0001,64,2,0.0,0.6620560271557231,0.2266874611377716,0.47450713800135963
0.0001,128,3,0.0,0.6524394750456641,0.2303452044725418,0.3874915023793338
5e-05,64,2,0.2,0.5757736530360141,0.24564017355442047,0.37049626104690686
5e-05,128,3,0.0,0.5500426287837995,0.24545110762119293,0.3881713120326309
5e-05,64,4,0.1,0.5415828608533148,0.24618631601333618,0.31543167912984366
5e-05,64,4,0.2,0.5402261305206255,0.246298685669899,0.3140720598232495
