model,success_auc,success_brier,xt_rmse,xt_r2,run_rmse_m,run_hit_rate_3m,success2_auc,success2_brier,receiver_top1,receiver_top3,presser_top1,presser_top3,defsuccess_auc,defsuccess_brier,dxt_rmse,dxt_r2,defline_rmse_m,defline_nomove_rmse_m,xpass_auc,xpass_brier
B0_prior,0.5,0.2469956690161914,0.0655551573462627,-3.4506728817884635e-05,6.456740033870989,0.2214137214137214,,,,,,,,,,,,,,
B1_engineered,0.6984745265847596,0.2167163658234012,0.0654017080769423,0.0046417070112015,6.456740033870989,0.2214137214137214,,,,,,,,,,,,,,
B2_pitch_control,0.5680435962056775,0.2459679803083533,0.0654819179717093,0.0021987573253802,6.456740033870989,0.2214137214137214,,,,,,,,,,,,,,
B3_obso,0.6987720518744093,0.2274001253033155,0.0655436994250546,0.0003150406047054,6.456740033870989,0.2214137214137214,,,,,,,,,,,,,,
GAT,0.73290432811789,0.2048680484294891,0.0650840139987396,0.014288306236267,6.332068505055752,0.2437629937629937,0.7329776155973258,0.2047580331563949,0.4091193004372267,0.7845096814490943,0.2798251093066833,0.6158650843222986,0.5981637478263955,0.236643448472023,0.009111415798347,0.7330691814422607,5.354531288146973,8.301043510437012,0.6789633968358987,0.0395393259823322
Transformer,0.7322677115054779,0.2049233615398407,0.06561746979834503,-0.0019365549087524414,6.328438906682766,0.24740124740124741,,,,,,,,,,,,,,
