xt_target,xt_r2,xt_rmse,target_std
realized,0.003918588161468506,0.0654254598817489,0.06629344350673068
obso,0.8824459314346313,0.00604651808703819,0.018135002436781143
risk,0.01095592975616455,0.05638611479377299,0.057379544346324196
