model,success_auc,success_brier,xt_rmse,xt_r2
TemporalGAT,0.7112156095768141,0.2114943414926529,0.06510669067576438,0.013601303100585938
TemporalTransformer,0.7052235377507088,0.2128574699163437,0.06570089059153335,-0.004485726356506348
