variant,success_auc,defsuccess_auc,presser_top1,defline_rmse_m,xpass_auc
base,0.6954839598865905,0.5804233649171369,0.2954403497813866,5.793780326843262,0.5547490708128199
+def_shape,0.7123553939584865,0.5909476028247986,0.297314178638351,5.601428508758545,0.5686722839518186
